school_id,school_name,postcode,borough,school_type
136750,West London Free School,W6 9LP,Hammersmith and Fulham,Secondary
136807,St Luke's Church of England School,NW3 7SU,Camden,Primary
136808,Eden Primary,N10 1NR,Haringey,Primary
136883,Chestnut Grove Academy,SW12 8JZ,Wandsworth,Secondary
136978,Stratford School Academy,E7 9PR,Newham,Secondary
137005,Graveney School,SW17 9BU,Wandsworth,Secondary
137016,"Canary Wharf College, East Ferry",E14 3BA,Tower Hamlets,Primary
137157,The London Oratory School,SW6 1RX,Hammersmith and Fulham,Secondary
137181,The UCL Academy,NW3 3AQ,Camden,Secondary
137295,Corpus Christi Catholic Primary School,SW2 5BL,Lambeth,Primary
137323,Ark Atwood Primary Academy,W9 2JY,Westminster,Primary
137331,Ark Conway Primary Academy,W12 0QT,Hammersmith and Fulham,Primary
137353,The St Marylebone CofE School,W1U 5BA,Westminster,Secondary
137393,The New North Academy,N1 8SJ,Islington,Primary
137413,Harris Primary Academy Peckham Park,SE15 5TD,Southwark,Primary
137430,Oasis Academy South Bank Primary,SE1 7RH,Lambeth,Primary
137441,Tidemill Academy,SE8 4RJ,Lewisham,Primary
137442,Clapton Girls' Academy,E5 0RB,Hackney,Secondary
137531,Alexandra Park School,N11 2AZ,Haringey,Secondary
137563,Belleville Primary School,SW11 6PR,Wandsworth,Primary
137566,William Tyndale Primary School,N1 2GG,Islington,Primary
137648,"Redriff Primary, City of London Academy",SE16 5LQ,Southwark,Primary
137682,Sir William Burrough Primary School,E14 7PQ,Tower Hamlets,Primary
137745,Mulberry Academy Woodside,N22 5QJ,Haringey,Secondary
137789,Mulberry Academy Shoreditch,E2 6NW,Tower Hamlets,Secondary
137935,Sacred Heart High School,W6 7DG,Hammersmith and Fulham,Secondary
137954,City Heights E-ACT Academy,SW2 3PW,Lambeth,Secondary
138202,Wapping High School,E1 2DA,Tower Hamlets,Secondary
138267,Ark Bolingbroke Academy,SW11 6BF,Wandsworth,Secondary
138276,Solebay Primary - A Paradigm Academy,E1 4PW,Tower Hamlets,Primary
138312,Westminster City School,SW1E 5HJ,Westminster,Secondary
138313,The Grey Coat Hospital,SW1P 2DY,Westminster,Secondary
138446,Harris Primary Academy Coleraine Park,N17 9XT,Haringey,Primary
138447,Harris Primary Academy Philip Lane,N15 4AB,Haringey,Primary
138588,Lift Noel Park,N22 6LH,Haringey,Primary
138589,Lift Trinity,N22 8ES,Haringey,Primary
138607,Lady Margaret School,SW6 4UN,Hammersmith and Fulham,Secondary
138680,Ark Bentworth Primary Academy,W12 7AJ,Hammersmith and Fulham,Primary
138681,Ark Putney Academy,SW15 3DG,Wandsworth,Secondary
138682,Southfields Academy,SW18 5JU,Wandsworth,Secondary
138960,Sacred Heart Catholic School,SE5 0RP,Southwark,Secondary
