school_id,school_name,postcode,borough,school_type,centroid_latitude,centroid_longitude
100917,Stepney Park Primary School,E1 3BW,Tower Hamlets,Primary,51.51877,-0.052351
100920,Manorfield Primary School,E14 6QD,Tower Hamlets,Primary,51.51863,-0.013597
100923,Stewart Headlam Primary School,E1 5RE,Tower Hamlets,Primary,51.52327,-0.059785
100927,Wellington Primary School,E3 4NE,Tower Hamlets,Primary,51.52592,-0.024813
100928,Woolmore Primary School,E14 0EW,Tower Hamlets,Primary,51.51026,-0.008759
100930,Thomas Buxton Primary School,E1 5AR,Tower Hamlets,Primary,51.52175,-0.064837
100931,Seven Mills Primary School,E14 8LY,Tower Hamlets,Primary,51.49838,-0.023584
100934,Osmani Primary School,E1 5AD,Tower Hamlets,Primary,51.52079,-0.064806
100937,Bangabandhu Primary School,E2 0LB,Tower Hamlets,Primary,51.52572,-0.051406
100938,Halley Primary School,E14 7SS,Tower Hamlets,Primary,51.51771,-0.036008
100939,Bigland Green Primary School,E1 2ND,Tower Hamlets,Primary,51.51268,-0.058549
100940,Kobi Nazrul Primary School,E1 1JP,Tower Hamlets,Primary,51.51611,-0.064269
100943,William Davis Primary School,E2 6ET,Tower Hamlets,Primary,51.52449,-0.066682
100944,Christ Church CofE School,E1 6PU,Tower Hamlets,Primary,51.51831,-0.071499
100946,Stepney Greencoat Church of England Primary School,E14 7TF,Tower Hamlets,Primary,51.51394,-0.03176
100949,St Agnes RC Primary School,E3 3ER,Tower Hamlets,Primary,51.52734,-0.018653
100951,St Edmund's Catholic School,E14 3RS,Tower Hamlets,Primary,51.49217,-0.024199
100953,St John's Church of England Primary School,E2 9LR,Tower Hamlets,Primary,51.53003,-0.05435
100954,St Luke's Church of England Primary School,E14 3EB,Tower Hamlets,Primary,51.48959,-0.005512
100958,St Paul With St Luke CofE Primary Federation,E3 4LA,Tower Hamlets,Primary,51.51796,-0.029194
100959,St Paul's Whitechapel Church of England Primary School,E1 8HY,Tower Hamlets,Primary,51.51009,-0.065822
100960,St Peter's London Docks CofE Primary School,E1W 3QT,Tower Hamlets,Primary,51.50764,-0.055204
100961,St Saviour's Church of England Primary School,E14 6BB,Tower Hamlets,Primary,51.51638,-0.017328
100962,English Martyrs Roman Catholic Primary School,E1 8DJ,Tower Hamlets,Primary,51.51276,-0.070882
100965,Bow School,E3 3QW,Tower Hamlets,Secondary,51.52339,-0.009469
100966,Langdon Park Community School,E14 0RZ,Tower Hamlets,Secondary,51.51479,-0.012122
100967,Morpeth School,E2 0PX,Tower Hamlets,Secondary,51.52678,-0.048463
100972,Oaklands School,E2 6PR,Tower Hamlets,Secondary,51.52924,-0.061694
100973,Swanlea School,E1 5DJ,Tower Hamlets,Secondary,51.52074,-0.060051
100974,George Green's School,E14 3DW,Tower Hamlets,Secondary,51.48813,-0.007607
100975,Central Foundation Girls' School,E3 2AE,Tower Hamlets,Secondary,51.52681,-0.028321
100977,Stepney All Saints Church of England Secondary School,E1 0RH,Tower Hamlets,Secondary,51.51625,-0.044186
100995,Alderbrook Primary School,SW12 8PP,Wandsworth,Primary,51.44853,-0.148904
100996,Allfarthing Primary School,SW18 2LR,Wandsworth,Primary,51.45422,-0.186169
100997,Beatrix Potter Primary School,SW18 3ER,Wandsworth,Primary,51.44397,-0.182272
101001,Brandlehow Primary School,SW15 2ED,Wandsworth,Primary,51.46138,-0.207393
101005,Earlsfield Primary School,SW18 3QQ,Wandsworth,Primary,51.44144,-0.185942
101006,Falconbrook Primary School,SW11 2LX,Wandsworth,Primary,51.46849,-0.17469
101009,Furzedown Primary School,SW17 9TJ,Wandsworth,Primary,51.42196,-0.153113
101011,Honeywell Junior School,SW11 6EF,Wandsworth,Primary,51.45474,-0.16188
101012,Honeywell Infant School,SW11 6EF,Wandsworth,Primary,51.45474,-0.16188
101013,Hotham Primary School,SW15 1PN,Wandsworth,Primary,51.46423,-0.221174
101014,John Burns Primary School,SW11 5QR,Wandsworth,Primary,51.46951,-0.152763
101016,Penwortham Primary School,SW16 6RJ,Wandsworth,Primary,51.42239,-0.145846
101018,Riversdale Primary School,SW18 5JP,Wandsworth,Primary,51.44655,-0.199065
101019,Sellincourt Primary School,SW17 9SA,Wandsworth,Primary,51.42317,-0.167534
101020,Shaftesbury Park Primary School,SW11 5UW,Wandsworth,Primary,51.46877,-0.156609
101021,Smallwood Primary School and Language Unit,SW17 0TW,Wandsworth,Primary,51.43121,-0.178074
101022,Swaffield School,SW18 2SA,Wandsworth,Primary,51.45153,-0.186031
101024,West Hill Primary School,SW18 5ST,Wandsworth,Primary,51.45558,-0.199013
101026,Sheringdale Primary School,SW18 5TR,Wandsworth,Primary,51.44691,-0.203642
101027,Southmead Primary School,SW19 6QT,Wandsworth,Primary,51.44522,-0.216056
101028,Granard Primary School,SW15 6XA,Wandsworth,Primary,51.45565,-0.232951
101029,Heathmere Primary School,SW15 4LJ,Wandsworth,Primary,51.44467,-0.24139
101031,Ronald Ross Primary School,SW19 6RY,Wandsworth,Primary,51.4483,-0.215676
101032,Albemarle Primary School,SW19 6JP,Wandsworth,Primary,51.44202,-0.213777
101034,"All Saints' CofE Primary School, Putney",SW15 1HL,Wandsworth,Primary,51.46788,-0.227741
101036,Holy Ghost Catholic Primary School,SW12 8QJ,Wandsworth,Primary,51.44788,-0.156341
101037,Our Lady of Victories Catholic Primary School,SW15 1AW,Wandsworth,Primary,51.46381,-0.223206
101038,Roehampton Church Forest Primary School,SW15 4AA,Wandsworth,Primary,51.44827,-0.23751
101042,St Boniface RC Primary School,SW17 8PP,Wandsworth,Primary,51.42735,-0.164576
101043,St Faith's CofE Primary School,SW18 1AE,Wandsworth,Primary,51.45941,-0.186482
101044,St George's CofE Primary School,SW8 4JS,Wandsworth,Primary,51.47717,-0.139306
101045,St Joseph's Catholic Primary and Nursery School,SW15 2QD,Wandsworth,Primary,51.45919,-0.200439
101046,St Mary's CofE Nursery and Primary School,SW15 1BA,Wandsworth,Primary,51.46643,-0.22201
101047,Trinity St Mary's CofE Primary School,SW12 8DR,Wandsworth,Primary,51.44257,-0.155303
101048,St Mary's RC Voluntary Aided Primary School,SW8 4EN,Wandsworth,Primary,51.47657,-0.146156
101049,St Michael's CofE Primary School,SW18 5SQ,Wandsworth,Primary,51.45023,-0.203569
101050,"Sacred Heart Catholic Primary School, Roehampton",SW15 5NX,Wandsworth,Primary,51.45761,-0.241943
101051,Our Lady Queen of Heaven RC School,SW19 6AD,Wandsworth,Primary,51.44797,-0.220367
101052,St Anselm's Catholic Primary School,SW17 8RW,Wandsworth,Primary,51.43527,-0.15623
101057,Hillbrook School,SW17 8SG,Wandsworth,Primary,51.43247,-0.160904
